ts,level,relevant_count,tier3_count,failed_count,sources_scanned
2026-07-28T21:52:49.898309+00:00,QUIET,0,0,0,
2026-07-29T00:38:16.210027+00:00,QUIET,0,0,60,
2026-07-29T04:41:42.896240+00:00,QUIET,0,0,0,
2026-07-29T06:11:45.188047+00:00,QUIET,0,0,0,
2026-07-29T09:53:26.408641+00:00,QUIET,0,1,0,
2026-07-29T13:12:33.446723+00:00,WATCH,1,0,0,
2026-07-29T16:43:08.597571+00:00,WATCH,1,0,0,
2026-07-29T20:22:25.556210+00:00,QUIET,0,0,0,
2026-07-30T00:14:50.920657+00:00,QUIET,0,1,0,
2026-07-30T05:57:43.456315+00:00,QUIET,0,0,0,
2026-07-30T09:44:49.164640+00:00,QUIET,0,0,0,
2026-07-30T10:00:38.820410+00:00,QUIET,0,0,1,
2026-07-30T12:57:56.176288+00:00,QUIET,0,0,1,
2026-07-30T16:50:54.665151+00:00,QUIET,0,0,1,
2026-07-30T20:26:12.118139+00:00,QUIET,0,0,68,
2026-07-31T00:21:13.639912+00:00,QUIET,0,0,1,
2026-07-31T06:27:58.575999+00:00,QUIET,0,0,1,
2026-07-31T10:00:02.954191+00:00,QUIET,0,0,1,
2026-07-31T13:12:10.275641+00:00,QUIET,0,0,1,
2026-07-31T17:00:17.899679+00:00,QUIET,0,0,1,
2026-07-31T20:33:22.454057+00:00,QUIET,0,0,1,
2026-08-01T00:18:13.576651+00:00,WATCH,3,0,0,
2026-08-01T06:14:32.434392+00:00,QUIET,0,0,0,
2026-08-01T09:25:11.031296+00:00,QUIET,0,0,0,
2026-08-01T12:15:34.535282+00:00,QUIET,0,0,0,
2026-08-01T16:17:30.506082+00:00,WATCH,1,0,0,
2026-08-01T20:21:41.770306+00:00,QUIET,0,0,0,
2026-08-02T00:16:17.025816+00:00,QUIET,0,0,0,
2026-08-02T06:18:01.219982+00:00,QUIET,0,0,0,
2026-08-02T09:26:21.691055+00:00,QUIET,0,0,0,
2026-08-02T12:18:58.777313+00:00,QUIET,0,0,0,
2026-08-02T16:18:02.535548+00:00,QUIET,0,0,0,
2026-08-02T20:24:08.859176+00:00,QUIET,0,0,0,
2026-08-03T00:17:20.858055+00:00,QUIET,0,0,0,
2026-08-03T06:40:51.418985+00:00,QUIET,0,0,0,
2026-08-03T10:59:57.962048+00:00,QUIET,0,0,0,
2026-08-03T13:54:52.557169+00:00,QUIET,0,0,0,
2026-08-03T17:25:08.340605+00:00,QUIET,0,0,0,
2026-08-03T20:45:28.127119+00:00,QUIET,0,0,0,
2026-08-04T00:24:20.704973+00:00,QUIET,0,0,0,
